,team_name,year,wins,losses,win_percent,goal_for,goal_against
440,Quebec Nordiques,1990,16,50,0.2,236,354
441,St. Louis Blues,1990,47,22,0.588,310,250
442,Toronto Maple Leafs,1990,23,46,0.287,241,318
443,Vancouver Canucks,1990,28,43,0.35,243,315
444,Washington Capitals,1990,37,36,0.463,258,258
445,Winnipeg Jets,1990,26,43,0.325,260,288
446,Boston Bruins,1991,36,32,0.45,270,275
447,Buffalo Sabres,1991,31,37,0.388,289,299
448,Calgary Flames,1991,31,37,0.388,296,305
449,Chicago Blackhawks,1991,36,29,0.45,257,236
450,Boston Bruins,1990,44,24,0.55,299,264
451,Buffalo Sabres,1990,31,30,0.388,292,278
452,Calgary Flames,1990,46,26,0.575,344,263
453,Chicago Blackhawks,1990,49,23,0.613,284,211
454,Detroit Red Wings,1990,34,38,0.425,273,298
455,Edmonton Oilers,1990,37,37,0.463,272,272
456,Hartford Whalers,1990,31,38,0.388,238,276
457,Los Angeles Kings,1990,46,24,0.575,340,254
458,Minnesota North Stars,1990,27,39,0.338,256,266
459,Montreal Canadiens,1990,39,30,0.487,273,249
460,New Jersey Devils,1990,32,33,0.4,272,264
461,New York Islanders,1990,25,45,0.312,223,290
462,New York Rangers,1990,36,31,0.45,297,265
463,Philadelphia Flyers,1990,33,37,0.412,252,267
464,Pittsburgh Penguins,1990,41,33,0.512,342,305
465,Quebec Nordiques,1990,16,50,0.2,236,354
466,St. Louis Blues,1990,47,22,0.588,310,250
467,Toronto Maple Leafs,1990,23,46,0.287,241,318
468,Vancouver Canucks,1990,28,43,0.35,243,315
469,Washington Capitals,1990,37,36,0.463,258,258
470,Winnipeg Jets,1990,26,43,0.325,260,288
471,Boston Bruins,1991,36,32,0.45,270,275
472,Buffalo Sabres,1991,31,37,0.388,289,299
473,Calgary Flames,1991,31,37,0.388,296,305
474,Chicago Blackhawks,1991,36,29,0.45,257,236
475,Boston Bruins,1990,44,24,0.55,299,264
476,Buffalo Sabres,1990,31,30,0.388,292,278
477,Calgary Flames,1990,46,26,0.575,344,263
478,Chicago Blackhawks,1990,49,23,0.613,284,211
479,Detroit Red Wings,1990,34,38,0.425,273,298
480,Edmonton Oilers,1990,37,37,0.463,272,272
481,Hartford Whalers,1990,31,38,0.388,238,276
482,Los Angeles Kings,1990,46,24,0.575,340,254
483,Minnesota North Stars,1990,27,39,0.338,256,266
484,Montreal Canadiens,1990,39,30,0.487,273,249
485,New Jersey Devils,1990,32,33,0.4,272,264
486,New York Islanders,1990,25,45,0.312,223,290
487,New York Rangers,1990,36,31,0.45,297,265
488,Philadelphia Flyers,1990,33,37,0.412,252,267
489,Pittsburgh Penguins,1990,41,33,0.512,342,305
490,Quebec Nordiques,1990,16,50,0.2,236,354
491,St. Louis Blues,1990,47,22,0.588,310,250
492,Toronto Maple Leafs,1990,23,46,0.287,241,318
493,Vancouver Canucks,1990,28,43,0.35,243,315
494,Washington Capitals,1990,37,36,0.463,258,258
495,Winnipeg Jets,1990,26,43,0.325,260,288
496,Boston Bruins,1991,36,32,0.45,270,275
497,Buffalo Sabres,1991,31,37,0.388,289,299
498,Calgary Flames,1991,31,37,0.388,296,305
499,Chicago Blackhawks,1991,36,29,0.45,257,236
500,Boston Bruins,1990,44,24,0.55,299,264
501,Buffalo Sabres,1990,31,30,0.388,292,278
502,Calgary Flames,1990,46,26,0.575,344,263
503,Chicago Blackhawks,1990,49,23,0.613,284,211
504,Detroit Red Wings,1990,34,38,0.425,273,298
505,Edmonton Oilers,1990,37,37,0.463,272,272
506,Hartford Whalers,1990,31,38,0.388,238,276
507,Los Angeles Kings,1990,46,24,0.575,340,254
508,Minnesota North Stars,1990,27,39,0.338,256,266
509,Montreal Canadiens,1990,39,30,0.487,273,249
510,New Jersey Devils,1990,32,33,0.4,272,264
511,New York Islanders,1990,25,45,0.312,223,290
512,New York Rangers,1990,36,31,0.45,297,265
513,Philadelphia Flyers,1990,33,37,0.412,252,267
514,Pittsburgh Penguins,1990,41,33,0.512,342,305
515,Quebec Nordiques,1990,16,50,0.2,236,354
516,St. Louis Blues,1990,47,22,0.588,310,250
517,Toronto Maple Leafs,1990,23,46,0.287,241,318
518,Vancouver Canucks,1990,28,43,0.35,243,315
519,Washington Capitals,1990,37,36,0.463,258,258
520,Winnipeg Jets,1990,26,43,0.325,260,288
521,Boston Bruins,1991,36,32,0.45,270,275
522,Buffalo Sabres,1991,31,37,0.388,289,299
523,Calgary Flames,1991,31,37,0.388,296,305
524,Chicago Blackhawks,1991,36,29,0.45,257,236
525,Boston Bruins,1990,44,24,0.55,299,264
526,Buffalo Sabres,1990,31,30,0.388,292,278
527,Calgary Flames,1990,46,26,0.575,344,263
528,Chicago Blackhawks,1990,49,23,0.613,284,211
529,Detroit Red Wings,1990,34,38,0.425,273,298
530,Edmonton Oilers,1990,37,37,0.463,272,272
531,Hartford Whalers,1990,31,38,0.388,238,276
532,Los Angeles Kings,1990,46,24,0.575,340,254
533,Minnesota North Stars,1990,27,39,0.338,256,266
534,Montreal Canadiens,1990,39,30,0.487,273,249
535,New Jersey Devils,1990,32,33,0.4,272,264
536,New York Islanders,1990,25,45,0.312,223,290
537,New York Rangers,1990,36,31,0.45,297,265
538,Philadelphia Flyers,1990,33,37,0.412,252,267
539,Pittsburgh Penguins,1990,41,33,0.512,342,305
540,Quebec Nordiques,1990,16,50,0.2,236,354
541,St. Louis Blues,1990,47,22,0.588,310,250
542,Toronto Maple Leafs,1990,23,46,0.287,241,318
543,Vancouver Canucks,1990,28,43,0.35,243,315
544,Washington Capitals,1990,37,36,0.463,258,258
545,Winnipeg Jets,1990,26,43,0.325,260,288
546,Boston Bruins,1991,36,32,0.45,270,275
547,Buffalo Sabres,1991,31,37,0.388,289,299
548,Calgary Flames,1991,31,37,0.388,296,305
549,Chicago Blackhawks,1991,36,29,0.45,257,236
550,Boston Bruins,1990,44,24,0.55,299,264
551,Buffalo Sabres,1990,31,30,0.388,292,278
552,Calgary Flames,1990,46,26,0.575,344,263
553,Chicago Blackhawks,1990,49,23,0.613,284,211
554,Detroit Red Wings,1990,34,38,0.425,273,298
555,Edmonton Oilers,1990,37,37,0.463,272,272
556,Hartford Whalers,1990,31,38,0.388,238,276
557,Los Angeles Kings,1990,46,24,0.575,340,254
558,Minnesota North Stars,1990,27,39,0.338,256,266
559,Montreal Canadiens,1990,39,30,0.487,273,249
560,New Jersey Devils,1990,32,33,0.4,272,264
561,New York Islanders,1990,25,45,0.312,223,290
562,New York Rangers,1990,36,31,0.45,297,265
563,Philadelphia Flyers,1990,33,37,0.412,252,267
564,Pittsburgh Penguins,1990,41,33,0.512,342,305
565,Quebec Nordiques,1990,16,50,0.2,236,354
566,St. Louis Blues,1990,47,22,0.588,310,250
567,Toronto Maple Leafs,1990,23,46,0.287,241,318
568,Vancouver Canucks,1990,28,43,0.35,243,315
569,Washington Capitals,1990,37,36,0.463,258,258
570,Winnipeg Jets,1990,26,43,0.325,260,288
571,Boston Bruins,1991,36,32,0.45,270,275
572,Buffalo Sabres,1991,31,37,0.388,289,299
573,Calgary Flames,1991,31,37,0.388,296,305
574,Chicago Blackhawks,1991,36,29,0.45,257,236
575,Boston Bruins,1990,44,24,0.55,299,264
576,Buffalo Sabres,1990,31,30,0.388,292,278
577,Calgary Flames,1990,46,26,0.575,344,263
578,Chicago Blackhawks,1990,49,23,0.613,284,211
579,Detroit Red Wings,1990,34,38,0.425,273,298
580,Edmonton Oilers,1990,37,37,0.463,272,272
581,Hartford Whalers,1990,31,38,0.388,238,276
582,Los Angeles Kings,1990,46,24,0.575,340,254
583,Minnesota North Stars,1990,27,39,0.338,256,266
584,Montreal Canadiens,1990,39,30,0.487,273,249
